		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   24   31   22   28   25   19   21   26  4.494367 0.809996 SUCCESS  76
100101000   26   26   23   28   36   19   24   15 11.535846 0.173145 SUCCESS  77
100110000   10   23   31   19   20   23   22   27 13.380122 0.099423 SUCCESS  78
100111000   20   35   23   22   15   23   26   21 10.331043 0.242555 SUCCESS  79
101000000   23   22   23   20   24   21   27   25  2.027168 0.980168 SUCCESS  80
101000100   26   30   27   24   22   23   29   18  4.689651 0.790173 SUCCESS  81
101001000   20   22   23   23   35   31   26   28  8.495373 0.386634 SUCCESS  82
101001100   18   28   26   29   26   18   22   24  5.383406 0.715921 SUCCESS  83
101010000   27   26   24   31   16   21   26   21  6.324079 0.610980 SUCCESS  84
101010100   33   17   26   20   35   15   28   26 15.544134 0.049390 SUCCESS  85
101011000   24   29   24   25   21   25   23   19  2.748064 0.949160 SUCCESS  86
101011100   28   23   21   23   21   37   27   19  9.943123 0.269041 SUCCESS  87
101100000   22   17   20   26   27   22   25   23  4.119686 0.846167 SUCCESS  88
101100100   23   32   21   21   29   18   27   27  6.714647 0.567710 SUCCESS  89
101101000   30   14   25   17   24   24   29   24  9.161987 0.328816 SUCCESS  90
101101100   25   19   17   26   26   26   28   23  4.527466 0.806679 SUCCESS  91
101110000   22   25   20   33   35   31   18   19 13.790549 0.087391 SUCCESS  92
101110100   10   25   23   16   26   32   22   29 15.567303 0.049009 SUCCESS  93
101111000   25   26   26   23   30   10   30   24 11.764229 0.162037 SUCCESS  94
101111100   26   25   20   27   28   20   22   12  9.355947 0.313164 SUCCESS  95
110000000   26   23   19   29   25   23   24   23  2.511076 0.961212 SUCCESS  96
110000010   16   30   25   21   12   26   21   23 12.015781 0.150501 SUCCESS  97
110000100   21   21   20   27   26   23   26   30  3.714555 0.881916 SUCCESS  98
110001000   17   16   31   15   24   28   23   26 11.643749 0.167821 SUCCESS  99
