		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000100111   25   30   22   27   32   22   34   30  9.802121 0.279190 SUCCESS  18
000101001   27   29   22   31   27   25   28   22  4.369253 0.822367 SUCCESS  19
000101011   21   25   18   23   17   25   29   28  6.102978 0.635698 SUCCESS  20
000101101   23   25   24   12   15   25   21   21 11.353802 0.182447 SUCCESS  21
000101111   20   27   19   21   28   18   21   24  5.610465 0.690773 SUCCESS  22
000110011   28   28   17   24   14   23   15   16 14.819266 0.062756 SUCCESS  23
000110101   23   31   30   32   25   26   24   22  6.081133 0.638144 SUCCESS  24
000110111   26   31   27   31   21   23   23   24  4.749891 0.783943 SUCCESS  25
000111001   30   24   15   30   18   31   29   21 11.374985 0.181344 SUCCESS  26
000111011   24   26   26   34   23   16   25   32  9.664429 0.289373 SUCCESS  27
000111101   22   26   25   23   32   19   21   23  4.705539 0.788535 SUCCESS  28
000111111   23   36   19   25   20   20   28   25  9.239438 0.322502 SUCCESS  29
001000011   21   28   34   28   25   32   22   23  8.284201 0.406212 SUCCESS  30
001000101   26   20   19   27   29   28   29   18  6.527969 0.588307 SUCCESS  31
001000111   24   26   22   26   21   21   35   30  7.537488 0.479900 SUCCESS  32
001001011   15   24   30   19   29   31   24   25  9.078577 0.335711 SUCCESS  33
001001101   17   27   24   28   20   23   22   18  6.042738 0.642444 SUCCESS  34
001001111   36   28   21   27   36   28   21   25 13.784592 0.087556 SUCCESS  35
001010011   27   20   24   28   23   29   27   26  3.038011 0.931950 SUCCESS  36
001010101   28   19   21   19   38   23   21   31 13.764732 0.088107 SUCCESS  37
001010111   20   25   20   28   22   31   25   28  4.859118 0.772522 SUCCESS  38
001011011   17   24   19   16   20   25   27   14 12.251446 0.140333 SUCCESS  39
001011101   30   24   25   21   23   26   24   25  2.054309 0.979301 SUCCESS  40
001011111   18   25   26   15   30   17   25   32 11.712595 0.164495 SUCCESS  41
001100101   25   19   25   21   24   34   21   26  6.265163 0.617556 SUCCESS  42
001100111   25   24   20   24   16   34   28   15 12.034317 0.149679 SUCCESS  43
001101011   27   33   24   27   24   23   15   24  7.553376 0.478266 SUCCESS  44
001101101   28   26   23   22   27   21   24    9 11.813216 0.159734 SUCCESS  45
001101111   23   29   30   32   23   20   24   29  6.563716 0.584349 SUCCESS  46
001110101   32   29   23   21   20   29   28   22  6.427348 0.599477 SUCCESS  47
001110111   20   17   27   33   24   22   25   26  6.934425 0.543724 SUCCESS  48
001111011   27   26   26   17   30   17   26   20  7.399796 0.494174 SUCCESS  49
001111101   28   23   25   20   19   14   22   19  8.761489 0.362814 SUCCESS  50
001111111   32   31   20   24   21   25   28   26  6.283698 0.615486 SUCCESS  51
010000011   27   20   25   29   19   28   21   19  5.527056 0.700041 SUCCESS  52
010000111   19   25   25   30   26   35   33   24 10.606427 0.225012 SUCCESS  53
010001011   25   19   16   22   22   32   29   20  8.890575 0.351611 SUCCESS  54
010001111   18   24   27   25   30   18   25   26  5.231151 0.732609 SUCCESS  55
010010011   20   30   28   28   31   22   20   22  6.401531 0.602349 SUCCESS  56
010010111   17   26   36   21   26   26   24   22  9.087183 0.334995 SUCCESS  57
010011011   23   29   25   26   21   18   23   22  3.654315 0.886889 SUCCESS  58
010011111   29   26   22   29   31   20   25   28  5.377448 0.716577 SUCCESS  59
010100011   26   26   26   24   30   24   22   19  3.147238 0.924780 SUCCESS  60
010100111   25   23   25   27   29   26   22   31  3.496101 0.899492 SUCCESS  61
010101011   30   11   16   21   40   20   18   27 25.565846 0.001246 FAILURE  62
010101111   14   22   18   22   23   24   30   28  8.771419 0.361944 SUCCESS  63
010110011   17   20   23   28   23   27   25   23  4.238843 0.834957 SUCCESS  64
010110111   25   18   20   18   19   20   22   22  6.845719 0.553366 SUCCESS  65
010111011   28   25   17   19   27   24   15   32 10.602455 0.225258 SUCCESS  66
010111111   19   27   23   22   21   24   25   25  2.374708 0.967318 SUCCESS  67
011000111   25   25   16   30   24   31   22   21  6.934425 0.543724 SUCCESS  68
011001111   25   28   19   24   19   24   30   22  4.620805 0.797229 SUCCESS  69
011010111   28   25   25   21   25   21   18   24  3.315381 0.913036 SUCCESS  70
011011111   24   24   28   36   17   24   18   17 12.644662 0.124675 SUCCESS  71
011101111   20   22   22   28   34   19   23   22  7.323669 0.502148 SUCCESS  72
011111111   28   26   23   29   22   22   22   23  2.452159 0.963924 SUCCESS  73
100000000   22   24   33   22   22   22   28   26  4.774384 0.781396 SUCCESS  74
100010000   17   27   24   18   21   35   19   26 10.941388 0.205042 SUCCESS  75
100100000   24   26   32   27   26   24   30   36  9.997405 0.265208 SUCCESS  76
100101000   15   18   24   14   26   27   15   20 15.021832 0.058722 SUCCESS  77
100110000   21   25   21   22   29   22   25   22  2.637514 0.955010 SUCCESS  78
100111000   18   26   34   22   29   28   27   20  8.545683 0.382057 SUCCESS  79
101000000   29   27   31   17   21   20   24   24  6.671619 0.572441 SUCCESS  80
101000100   26   24   28   23   20   26   19   22  3.154520 0.924289 SUCCESS  81
101001000   22   25   27   28   21   24   20   30  3.740372 0.879755 SUCCESS  82
101001100   22   23   15   22   28   27   30   13 11.982683 0.151978 SUCCESS  83
101010000   32   23   24   25   21   22   30   25  4.630735 0.796215 SUCCESS  84
101010100   24   27   35   20   23   22   25   25  6.232064 0.621255 SUCCESS  85
101011000   29   21   29   28   24   17   14   29 10.636878 0.223135 SUCCESS  86
101011100   30   23   30   25   22   27   21   23  3.859528 0.869570 SUCCESS  87
101100000   29   20   27   27   21   16   23   34  9.756444 0.282538 SUCCESS  88
101100100   20   20   21   21   32   34   24   26  9.087183 0.334995 SUCCESS  89
101101000   30   28   23   19   25   25   23   16  6.298262 0.613861 SUCCESS  90
101101100   23   22   21   23   29   27   21   25  2.587203 0.957540 SUCCESS  91
101110000   31   24   23   25   23   17   37   23 11.163813 0.192589 SUCCESS  92
101110100   27   26   17   24   26   18   23   24  4.653904 0.793845 SUCCESS  93
101111000   28   26   24   26   26   23   26   22  1.317526 0.995339 SUCCESS  94
101111100   27   22   24   23   29   24   30   24  2.859939 0.942837 SUCCESS  95
110000000   23   24   25   22   17   26   29   28  4.222955 0.836468 SUCCESS  96
110000010   24   22   24   34   28   28   26   34  9.276509 0.319510 SUCCESS  97
110000100   24   32   31   23   22   24   29   21  6.020892 0.644892 SUCCESS  98
110001000   19   29   21   24   22   32   31   28  7.715561 0.461737 SUCCESS  99
110001010   15   28   21   31   20   22   34   31 13.443010 0.097489 SUCCESS 100
110010000   24   22   22   31   29   30   35   26  9.437370 0.306753 SUCCESS 101
110010010   15   30   24   22   25   25   17   21  8.161073 0.417896 SUCCESS 102
110010100   13   22   22   18   19   31   15   20 15.369371 0.052349 SUCCESS 103
110011000   25   25   25   24   27   27   22   26  0.978592 0.998380 SUCCESS 104
110011010   26   25   31   26   26   16   21   21  6.154612 0.629918 SUCCESS 105
110100000   29   26   27   23   23   16   33   15 11.323351 0.184042 SUCCESS 106
110100010   27   24   20   24   27   27   20   20  3.332592 0.911787 SUCCESS 107
110100100   21   24   22   30   25   28   15   30  7.705631 0.462740 SUCCESS 108
110101000   38   21   24   28   27   25   30   22 10.758682 0.215751 SUCCESS 109
110101010   26   19   30   22   25   19   22   21  4.899499 0.768262 SUCCESS 110
110101100   22   23   29   26   21   22   13   32 10.017926 0.263770 SUCCESS 111
110110000   21   25   19   24   21   18   19   31  7.050933 0.531147 SUCCESS 112
110110010   19   18   16   25   35   22   21   25 11.482888 0.175810 SUCCESS 113
110110100   33   24   20   18   22   19   22   19  8.652262 0.372474 SUCCESS 114
110111000   34   25   21   29   26   14   36   18 17.434086 0.025893 SUCCESS 115
110111010   20   26   20   19   19   17   16   29 10.421734 0.236664 SUCCESS 116
110111100   24   25   25   20   20   20   20   23  3.398790 0.906901 SUCCESS 117
111000000   26   31   26   31   25   26   40   17 16.665528 0.033787 SUCCESS 118
111000010   20   23   26   18   22   22   29   19  5.364870 0.717961 SUCCESS 119
111000100   24   29   27   24   26   28   32   26  4.412282 0.818144 SUCCESS 120
111000110   24   24   20   27   16   23   17   23  6.592843 0.581129 SUCCESS 121
111001000   32   19   24   36   25   26   30   23 10.928149 0.205804 SUCCESS 122
111001010   12   22   16   20   20   36   14   29 22.564430 0.003971 FAILURE 123
111001100   29   24   18   16   28   34   28   28 11.181025 0.191652 SUCCESS 124
111010000   21   24   25   28   27   16   28   24  4.892217 0.769032 SUCCESS 125
111010010   18   25   23   26   26   29   22   28  3.740372 0.879755 SUCCESS 126
111010100   31   29   23   22   29   30   29   17  8.512584 0.385064 SUCCESS 127
111010110   25   22   29   18   20   26   16   21  7.296528 0.505004 SUCCESS 128
111011000   18   35   21   28   24   24   17   33 13.002131 0.111776 SUCCESS 129
111011010   32   14   25   23   22   14   25   28 12.516900 0.129588 SUCCESS 130
111011100   25   27   21   19   20   18   33   21  8.204102 0.413791 SUCCESS 131
111100000   24   35   27   29   21   24   30   22  8.021395 0.431383 SUCCESS 132
111100010   24   23   24   24   24   23   29   26  1.198370 0.996658 SUCCESS 133
111100100   22   20   21   30   29   23   25   22  4.121010 0.846044 SUCCESS 134
111100110   24   22   27   24   34   25   25   28  5.029909 0.754375 SUCCESS 135
111101000   23   23   22   28   30   18   24   15  7.771829 0.456070 SUCCESS 136
111101010   31   29   22   22   31   22   25   19  6.570998 0.583544 SUCCESS 137
111101100   30   31   20   27   26   24   20   26  5.325814 0.722252 SUCCESS 138
111101110   17   34   17   18   22   13   34   22 20.176006 0.009690 FAILURE 139
111110000   22   27   28   27   20   24   31   25  4.054812 0.852145 SUCCESS 140
111110010   23   20   19   26   32   28   26   31  7.198555 0.515370 SUCCESS 141
111110100   17   25   28   26   29   19   24   16  8.119368 0.421898 SUCCESS 142
111110110   22   15   22   27   28   19   24   31  8.153791 0.418593 SUCCESS 143
111111000   17   31   29   26   16   23   27   27  8.815771 0.358075 SUCCESS 144
111111010   23   24   19   25   34   22   20   15 10.051025 0.261463 SUCCESS 145
111111100   26   32   32   26   19   25   25   26  6.487588 0.592785 SUCCESS 146
111111110   28   26   23   29   22   22   22   23  2.452159 0.963924 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   29   36   25   30   26   28   28   23  9.234804 0.322877 SUCCESS   0
000000011   23   34   31   25   35   15   19   21 16.078352 0.041272 SUCCESS   1
000000101   20   29   10   25   15   24   20   31 16.930320 0.030843 SUCCESS   2
000000111   27   30   29   26   27   21   21   27  4.173969 0.841096 SUCCESS   3
000001001   20   28   25   26   24   28   19   31  5.130530 0.743538 SUCCESS   4
000001011   19   26   19   23   18   32   23   28  7.475924 0.486259 SUCCESS   5
000001101   27   29   27   25   29   18   18   17  8.171003 0.416947 SUCCESS   6
000001111   31   32   22   28   31   31   19   27 10.301916 0.244472 SUCCESS   7
000010001   25   25   24   20   27   24   18   31  4.731356 0.785865 SUCCESS   8
000010011   18   27   23   23   28   28   19   20  5.340377 0.720653 SUCCESS   9
000010101   26   31   27   23   22   23   25   22  2.910249 0.939863 SUCCESS  10
000010111   31   36   19   25   22   27   23   29 10.309198 0.243991 SUCCESS  11
000011001   24   23   25   28   28   30   24   22  2.783811 0.947183 SUCCESS  12
000011011   25   34   34   17   32   17   23   17 17.314930 0.026992 SUCCESS  13
000011101   23   26   20   23   23   22   31   22  3.510665 0.898360 SUCCESS  14
000011111   23   32   25   30   33   29   21   21  8.885941 0.352009 SUCCESS  15
000100011   25   24   24   21   20   17   22   20  4.720102 0.787030 SUCCESS  16
000100101   18   30   20   22   23   28   25   25  4.790272 0.779739 SUCCESS  17
000100111   17   20   17   15   25   17   25   27 11.836385 0.158655 SUCCESS  18
000101001   34   24   25   19   22   32   29   29  9.648542 0.290565 SUCCESS  19
000101011   23   34   27   20   25   27   19   28  7.181343 0.517200 SUCCESS  20
000101101   11   23   28   31   29   23   30   20 13.213303 0.104718 SUCCESS  21
000101111   31   37   21   28   23   29   23   27 10.962572 0.203829 SUCCESS  22
000110011   22   30   17   29   24   29   21   21  6.671619 0.572441 SUCCESS  23
000110101   29   27   28   46   19   16   21   22 26.458857 0.000876 FAILURE  24
000110111   24   28   26   17   22   23   29   18  5.942117 0.653716 SUCCESS  25
000111001   34   22   29   26   13   18   18   25 14.144047 0.078087 SUCCESS  26
000111011   28   24   24   27   24   19   31   30  5.266897 0.728706 SUCCESS  27
000111101   28   26   22   16   23   32   24   24  6.434630 0.598667 SUCCESS  28
000111111   22   28   22   33   30   20   20   22  7.383909 0.495834 SUCCESS  29
001000011   25   28   28   25   26   23   24   27  1.614755 0.990634 SUCCESS  30
001000101   29   27   22   24   21   31   18   34  9.410229 0.308879 SUCCESS  31
001000111   20   23   24   23   23   23   29   17  4.373887 0.821914 SUCCESS  32
001001011   21   37   21   28   20   22   22   27  9.849784 0.275728 SUCCESS  33
001001101   13   22   17   27   23   24   23   30  9.855741 0.275297 SUCCESS  34
001001111   16   26   27   16   22   19   29   33 11.882062 0.156544 SUCCESS  35
001010011   28   21   24   14   19   33   30   21 11.814540 0.159672 SUCCESS  36
001010101   20   18   25   24   33   25   23   27  6.095696 0.636513 SUCCESS  37
001010111   25   32   24   24   23   37   16   24 12.282559 0.139035 SUCCESS  38
001011011   19   25   24   23   28   25   29   23  2.884432 0.941399 SUCCESS  39
001011101   36   31   20   35   20   28   32   27 17.234168 0.027761 SUCCESS  40
001011111   26   37   17   27   24   27   20   17 12.874369 0.116246 SUCCESS  41
001100101   21   31   26   24   25   31   29   19  6.444560 0.597563 SUCCESS  42
001100111   26   24   21   20   15   24   25   24  5.195404 0.736502 SUCCESS  43
001101011   20   25   22   30   16   18   16   24 10.125829 0.256305 SUCCESS  44
001101101   28   19   35   22   23   26   19   29  9.113000 0.332853 SUCCESS  45
001101111   22   28   29   25   23   27   29   23  3.055223 0.930844 SUCCESS  46
001110101   28   20   19   22   26   29   24   25  3.875416 0.868185 SUCCESS  47
001110111   22   15   22   20   24   17   26   28  8.033311 0.430223 SUCCESS  48
001111011   35   21   24   22   17   22   23   22  8.390780 0.396258 SUCCESS  49
001111101   23   23   18   21   25   19   23   29  4.619481 0.797364 SUCCESS  50
001111111   30   27   22   31   28   26   23   27  4.734004 0.785591 SUCCESS  51
010000011   27   21   23   30   37   24   21   19 10.646807 0.222526 SUCCESS  52
010000111   22   26   27   27   20   26   24   24  1.867631 0.984804 SUCCESS  53
010001011   24   28   26   28   29   25   24   28  2.683190 0.952641 SUCCESS  54
010001111   14   24   26   25   20   26   20   13 11.964147 0.152811 SUCCESS  55
010010011   23   25   26   26   21   28   27   27  1.927871 0.983144 SUCCESS  56
010010111   23   35   28   32   14   18   22   28 14.951000 0.060105 SUCCESS  57
010011011   15   15   18   23   25   34   23   25 13.321206 0.101265 SUCCESS  58
010011111   29   21   24   15   27   21   35   36 16.375580 0.037309 SUCCESS  59
010100011   34   20   22   23   25   30   19   20  8.451020 0.390697 SUCCESS  60
010100111   25   21   29   20   18   31   31   19  8.883293 0.352237 SUCCESS  61
010101011   27   21   21   26   22   23   22   28  2.493864 0.962016 SUCCESS  62
010101111   34   25   21   22   29   30   17   25  9.214945 0.324489 SUCCESS  63
010110011   18   29   23   25   30   23   25   28  4.706863 0.788398 SUCCESS  64
010110111   21   19   25   25   27   24   28   23  2.680542 0.952780 SUCCESS  65
010111011   29   30   22   31   21   29   28   23  6.335333 0.609725 SUCCESS  66
010111111   28   26   24   23   27   22   16   26  4.375211 0.821784 SUCCESS  67
011000111   26   14   22   25   29   18   30   29  9.806755 0.278852 SUCCESS  68
011001111   26   23   17   28   20   23   20   24  4.788948 0.779877 SUCCESS  69
011010111   22   18   20   22   24   23   27   27  3.704625 0.882742 SUCCESS  70
011011111   26   20   26   19   26   21   29   22  4.010460 0.856179 SUCCESS  71
011101111   22   27   17   31   31   23   29   27  7.808900 0.452357 SUCCESS  72
011111111   23   19   24   23   36   30   27   22  8.969350 0.344888 SUCCESS  73
100000000   29   36   25   30   26   28   28   23  9.234804 0.322877 SUCCESS  74
100010000   27   24   29   14   34   28   23   24 10.316479 0.243512 SUCCESS  75
100100000   16   22   23   19   28   17   22   29  8.558923 0.380858 SUCCESS  76
100101000   31   20   30   30   25   21   29   26  6.835128 0.554521 SUCCESS  77
100110000   30   24   29   28   21   27   22   22  4.046207 0.852931 SUCCESS  78
100111000   21   28   37   25   17   20   26   24 11.036051 0.199665 SUCCESS  79
101000000   24   25   23   29   18   19   19   37 11.933696 0.154187 SUCCESS  80
101000100   23   24   24   14   18   29   29   21  8.695291 0.368649 SUCCESS  81
101001000   21   27   26   19   29   13   20   31 11.186983 0.191328 SUCCESS  82
101001100   34   16   26   25   16   14   26   32 17.144139 0.028643 SUCCESS  83
101010000   28   27   27   35   29   24   24   21  7.284612 0.506260 SUCCESS  84
101010100   22   17   24   28   29   24   22   23  4.349393 0.824305 SUCCESS  85
101011000   27   16   30   28   23   20   26   22  6.408813 0.601539 SUCCESS  86
101011100   21   24   17   22   25   33   22   27  6.739141 0.565021 SUCCESS  87
101100000   31   28   29   25   26   30   16   25  7.749984 0.458266 SUCCESS  88
101100100   20   33   27   24   25   29   22   33  8.538402 0.382717 SUCCESS  89
101101000   22   28   19   20   18   31   30   25  7.773153 0.455937 SUCCESS  90
101101100   18   28   27   26   27   18   25   22  4.959739 0.761871 SUCCESS  91
101110000   30   32   18   19   26   24   17   14 13.762084 0.088181 SUCCESS  92
101110100   23   21   42   22   17   30   23   32 20.121062 0.009888 FAILURE  93
101111000   18   28   16   25   18   28   18   33 12.440773 0.132595 SUCCESS  94
101111100   26   29   16   18   35   25   21   24 11.001628 0.201607 SUCCESS  95
110000000   27   37   28   26   27   25   24   11 15.587163 0.048685 SUCCESS  96
110000010   29   29   23   25   17   28   21   21  5.739551 0.676380 SUCCESS  97
110000100   16   33   23   22   24   29   19   26  8.696615 0.368532 SUCCESS  98
110001000   21   20   19   19   25   23   17   29  7.092638 0.526672 SUCCESS  99
110001010   25   23   34   10   27   35   20   29 19.552421 0.012169 SUCCESS 100
110010000   19   26   25   28   22   21   19   25  3.891303 0.866795 SUCCESS 101
110010010   25   28   20   29   29   24   25   25  3.216084 0.920074 SUCCESS 102
110010100   23   17   21   21   29   20   27   23  5.466815 0.706714 SUCCESS 103
110011000   21   23   27   26   21   24   24   17  3.789359 0.875611 SUCCESS 104
110011010   21   24   25   20   17   20   19   30  7.033722 0.532999 SUCCESS 105
110100000   21   27   21   35   27   23   18   35 12.892905 0.115588 SUCCESS 106
110100010   25   21   28   18   23   32   34   23  9.308284 0.316961 SUCCESS 107
110100100   19   31   29   19   23   20   24   21  6.611378 0.579082 SUCCESS 108
110101000   25   34   30   31   27   25   27   20  8.505303 0.385728 SUCCESS 109
110101010   29   20   20   30   18   22   21   24  6.339967 0.609208 SUCCESS 110
110101100   28   19   29   25   27   23   24   25  3.088322 0.928693 SUCCESS 111
110110000   25   28   25   23   24   34   14   16 12.144868 0.144856 SUCCESS 112
110110010   20   25   25   29   33   24   23   25  4.986880 0.758977 SUCCESS 113
110110100   28   18   34   17   25   30   15   31 15.442189 0.051097 SUCCESS 114
110111000   21   28   17   22   24   30   22   19  6.416094 0.600729 SUCCESS 115
110111010   25   14   29   19   20   30   29   29 10.671301 0.221028 SUCCESS 116
110111100   25   24   20   27   26   27   26   26  1.741193 0.987944 SUCCESS 117
111000000   23   32   25   23   20   21   21   19  5.662099 0.685022 SUCCESS 118
111000010   23   35   27   24   33   27   27   24  8.852842 0.354862 SUCCESS 119
111000100   21   25   16   21   31   27   19   34 11.255829 0.187621 SUCCESS 120
111000110   24   34   33   34   27   35   27   19 17.522791 0.025103 SUCCESS 121
111001000   20   22   24   28   26   24   23   21  2.307186 0.970117 SUCCESS 122
111001010   27   21   17   21   29   17   16   17 12.107797 0.146459 SUCCESS 123
111001100   17   17   24   22   14   22   24   17 12.038951 0.149474 SUCCESS 124
111010000   22   21   22   28   20   27   24   28  3.188943 0.921947 SUCCESS 125
111010010   22   34   23   25   23   25   19   20  6.400207 0.602497 SUCCESS 126
111010100   26   30   23   31   29   25   31   28  6.675590 0.572004 SUCCESS 127
111010110   30   17   29   21   30   26   37   21 13.689928 0.090214 SUCCESS 128
111011000   37   28   20   22   27   24   21   24  9.130212 0.331431 SUCCESS 129
111011010   25   20   25   15   26   22   28   32  7.942620 0.439095 SUCCESS 130
111011100   27   19   15   22   20   24   24   18  8.075016 0.426177 SUCCESS 131
111100000   21   34   23   25   17   32   24   19 10.501834 0.231554 SUCCESS 132
111100010   25   22   19   18   29   32   32   28  9.571090 0.296429 SUCCESS 133
111100100   28   17   20   26   36   23   27   19 11.103573 0.195899 SUCCESS 134
111100110   15   18   25   17   22   23   23   29  9.117634 0.332470 SUCCESS 135
111101000   20   23   22   29   23   30   23   24  3.545088 0.895662 SUCCESS 136
111101010   24   28   24   29   27   23   27   23  2.199283 0.974285 SUCCESS 137
111101100   34   22   24   19   23   20   21   19  8.017424 0.431770 SUCCESS 138
111101110   31   21   21   20   21   32   24   25  6.604097 0.579886 SUCCESS 139
111110000   29   32   23   19   29   31   25   23  7.504389 0.483314 SUCCESS 140
111110010   24   20   19   24   29   19   28   22  4.992838 0.758341 SUCCESS 141
111110100   22   26   21   29   23   21   18   23  4.128292 0.845367 SUCCESS 142
111110110   27   28   14   21   30   13   24   23 12.830017 0.117834 SUCCESS 143
111111000   31   24   23   23   27   22   29   23  3.529200 0.896912 SUCCESS 144
111111010   26   27   26   31   33   26   17   26  8.021395 0.431383 SUCCESS 145
111111100   30   28   22   25   27   26   29   26  3.539130 0.896132 SUCCESS 146
111111110   23   19   24   23   36   30   27   22  8.969350 0.344888 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   28   29   17   25   24   35   22   19 10.027856 0.263076 SUCCESS   0
000000011   26   26   23   27   23   36   32   27  9.107042 0.333347 SUCCESS   1
000000101   22   21   16   21   27   21   25   16  7.990282 0.434420 SUCCESS   2
000000111   37   21   26   27   29   37   32   23 17.768386 0.023032 SUCCESS   3
000001001   24   24   22   27   20   25   28   21  2.417736 0.965457 SUCCESS   4
000001011   24   30   14   24   26   19   22   23  7.593756 0.474124 SUCCESS   5
000001101   27   23   20   18   12   15   30   24 14.514755 0.069296 SUCCESS   6
000001111   29   24   26   24   33   24   21   23  4.732680 0.785728 SUCCESS   7
000010001   19   27   22   26   30   25   21   25  3.723161 0.881197 SUCCESS   8
000010011   25   27   24   29   18   25   30   20  5.104712 0.746328 SUCCESS   9
000010101   17   23   26   34   35   24   22   23 11.511353 0.174374 SUCCESS  10
000010111   28   31   23   19   19   26   22   25  5.315884 0.723342 SUCCESS  11
000011001   19   19   22   21   25   30   28   25  5.111994 0.745542 SUCCESS  12
000011011   30   25   19   22   18   18   31   33 11.273040 0.186703 SUCCESS  13
000011101   33   17   30   26   23   32   26   21 10.020574 0.263585 SUCCESS  14
000011111   27   26   25   22   30   17   26   16  7.399796 0.494174 SUCCESS  15
000100011   27   25   22   25   25   27   20   24  1.689559 0.989096 SUCCESS  16
000100101   18   16   29   24   26   25   32   21  8.688009 0.369295 SUCCESS  17
000100111   24   22   22   28   34   18   26   26  6.901326 0.547315 SUCCESS  18
000101001   26   31   32   24   24   28   25   26  5.090149 0.747899 SUCCESS  19
000101011   29   23   22   30   28   26   26   22  3.563623 0.894196 SUCCESS  20
000101101   26   21   27   23   27   27   22   30  3.114139 0.926992 SUCCESS  21
000101111   30   22   17   23   26   23   23   26  4.357999 0.823466 SUCCESS  22
000110011   23   17   23   20   19   24   33   26  7.789040 0.454344 SUCCESS  23
000110101   28   25   25   30   17   22   24   23  4.561889 0.803210 SUCCESS  24
000110111   25   20   22   22   21   21   24   34  6.213529 0.623327 SUCCESS  25
000111001   27   27   28   32   16   20   25   20  8.214032 0.412847 SUCCESS  26
000111011   31   19   24   20   19   28   22   24  5.942117 0.653716 SUCCESS  27
000111101   28   30   33   29   24   36   19   30 14.183765 0.077100 SUCCESS  28
000111111   23   31   24   22   21   20   26   22  3.840993 0.871177 SUCCESS  29
001000011   25   33   22   22   27   15   23   18  9.483709 0.303146 SUCCESS  30
001000101   24   29   27   18   32   20   25   33  9.342707 0.314215 SUCCESS  31
001000111   25   27   24   26   21   31   23   26  2.944672 0.937781 SUCCESS  32
001001011   23   15   22   24   18   24   28   21  6.855649 0.552284 SUCCESS  33
001001101   23   28   30   24   16   32   29   19  9.536667 0.299062 SUCCESS  34
001001111   24   19   25   23   29   20   33   18  7.925408 0.440790 SUCCESS  35
001010011   33   42   29   30   25   25   24   31 20.370629 0.009021 FAILURE  36
001010101   13   18   27   15   38   21   25   30 20.939931 0.007309 FAILURE  37
001010111   23   20   25   31   26   19   19   22  5.585972 0.693498 SUCCESS  38
001011011   23   25   25   19   26   26   24   30  2.901644 0.940377 SUCCESS  39
001011101   26   29   29   19   21   25   14   24  8.229919 0.411339 SUCCESS  40
001011111   29   19   16   18   30   25   25   18  9.949081 0.268618 SUCCESS  41
001100101   13   31   24   21   30   20   30   26 11.433901 0.178305 SUCCESS  42
001100111   26   23   24   22   18   25   29   17  5.407899 0.713221 SUCCESS  43
001101011   23   23   25   26   21   22   31   20  3.688738 0.884059 SUCCESS  44
001101101   26   21   28   24   19   28   17   26  5.366194 0.717815 SUCCESS  45
001101111   21   20   19   20   24   18   29   37 12.729396 0.121506 SUCCESS  46
001110101   24   21   28   25   25   24   26   22  1.435358 0.993730 SUCCESS  47
001110111   28   25   17   21   23   33   22   24  6.841085 0.553872 SUCCESS  48
001111011   14   20   34   26   19   40   23   27 21.331823 0.006316 FAILURE  49
001111101   17   22   27   22   35   21   26   15 12.195178 0.142706 SUCCESS  50
001111111   24   34   24   25   24   22   24   23  4.274590 0.831538 SUCCESS  51
010000011   25   29   23   24   21   21   15   19  6.957594 0.541215 SUCCESS  52
010000111   33   29   26   25   28   12   24   12 17.737273 0.023285 SUCCESS  53
010001011   33   28   26   19   32   26   26   32 10.141055 0.255265 SUCCESS  54
010001111   20   29   25   25   27   23   24   34  6.029498 0.643928 SUCCESS  55
010010011   27   21   30   20   22   23   27   25  3.553694 0.894983 SUCCESS  56
010010111   20   23   20   20   23   19   21   23  4.431479 0.816249 SUCCESS  57
010011011   25   25   25   24   17   22   20   20  4.254730 0.833441 SUCCESS  58
010011111   21   27   28   30   29   26   36   25  9.378454 0.311382 SUCCESS  59
010100011   24   35   29   26   21   20   20   31  9.749163 0.283075 SUCCESS  60
010100111   26   30   27   31   24   31   26   36 11.235307 0.188720 SUCCESS  61
010101011   20   11   31   25   27   17   21   35 18.143728 0.020174 SUCCESS  62
010101111   23   19   29   27   24   23   16   32  8.027353 0.430803 SUCCESS  63
010110011   17   22   29   25   24   25   37   23 10.307874 0.244079 SUCCESS  64
